device_guid	establishment_id	beer_id	report_count	last_report_update
6EB15994-23B5-4231-8B0D-54BCDF6F2DB1	12	194	0	2015-07-12 22:13:47
89609F63-F258-413B-9569-FF834CE5E2DF	12	39	0	2015-07-12 22:13:51
6EB15994-23B5-4231-8B0D-54BCDF6F2DB1	12	39	0	2015-07-12 22:13:52
89609F63-F258-413B-9569-FF834CE5E2DF	12	194	0	2015-07-12 22:14:03
0D269929-C71C-4389-A29C-0E14E7DA7BC3	2	284	1	2015-07-12 22:48:52
0D269929-C71C-4389-A29C-0E14E7DA7BC3	2	15	1	2015-07-12 22:48:56
0D269929-C71C-4389-A29C-0E14E7DA7BC3	2	285	1	2015-07-12 22:49:06
6EB15994-23B5-4231-8B0D-54BCDF6F2DB1	19	146	1	2015-07-12 23:16:33
6EB15994-23B5-4231-8B0D-54BCDF6F2DB1	19	156	1	2015-07-12 23:17:02
89609F63-F258-413B-9569-FF834CE5E2DF	19	146	1	2015-07-12 23:26:51
6EB15994-23B5-4231-8B0D-54BCDF6F2DB1	22	88	0	2015-07-13 00:00:32
2DFF26DD-FBAA-4EC0-AB4E-026A8B467D1A	12	193	0	2015-07-13 00:37:56
DED10232-DF57-43A3-9E48-75CF50259E69	12	194	0	2015-07-13 02:13:13
DED10232-DF57-43A3-9E48-75CF50259E69	12	188	1	2015-07-13 02:13:58
63321B89-774F-4848-BF7E-1CFBE07A77F2	23	85	1	2015-07-13 03:10:46
A1412BE8-D15D-49C5-8D38-D2F22BC2A7DC	34	371	1	2015-07-13 03:45:16
EF501454-4C0B-4867-A36E-EB4BC942D718	33	365	1	2015-07-13 19:48:56
155EDB49-66AF-4F0B-8785-D7AE199B598D	19	155	1	2015-07-13 20:40:49
C71F9912-D2F3-412C-9E2B-0309F062C06E	25	68	1	2015-07-13 22:13:36
66F050C7-B934-4F36-90E9-F8C87A554D41	19	155	1	2015-07-13 22:14:37
DED10232-DF57-43A3-9E48-75CF50259E69	19	151	1	2015-07-13 22:32:48
DED10232-DF57-43A3-9E48-75CF50259E69	19	150	1	2015-07-13 22:32:53
DED10232-DF57-43A3-9E48-75CF50259E69	19	155	1	2015-07-13 22:33:06
DED10232-DF57-43A3-9E48-75CF50259E69	19	145	1	2015-07-13 22:33:20
DED10232-DF57-43A3-9E48-75CF50259E69	19	149	1	2015-07-13 22:33:26
E7DE7007-A512-4D2F-B8F0-4208D6BD19FE	31	301	0	2015-07-13 22:33:38
3BDC9D04-FE4F-4872-8087-8940AC6625F3	21	118	1	2015-07-13 22:41:25
1899AF4A-CDC5-4AEC-AC44-4A6C8C2FA51F	19	155	1	2015-07-13 23:21:23
AAA56314-42AB-4575-A36A-2EE397858DDA	28	405	0	2015-07-13 23:43:54
AAA56314-42AB-4575-A36A-2EE397858DDA	28	397	0	2015-07-13 23:44:46
51CFC7A9-7550-4AAB-BD13-935DDAA227CA	21	122	1	2015-07-14 01:31:56
B5623CFD-C3D4-4652-822D-C71D6DA37192	11	201	0	2015-07-14 02:43:09
35778F08-686E-4A1C-830E-A67409F3D2A6	33	365	1	2015-07-14 13:40:53
4EE4FC88-6586-4162-A7E5-8DCC9F08DB18	21	111	1	2015-07-14 17:44:10
368322E5-B859-4E86-B906-FCDD4283D471	26	66	1	2015-07-14 20:41:08
3F41EFBC-6BA9-444F-B417-BEB53119832D	27	51	0	2015-07-14 21:32:33
0F4ACF40-08BA-481E-86F7-21394374D179	12	39	0	2015-07-14 23:46:13
C0A18DCA-1C50-403B-9D37-F447E455E6B4	28	390	0	2015-07-15 01:52:36
6851CD32-819C-4B68-BEF8-6796CB98E89E	19	149	1	2015-07-15 02:22:50
65416F43-3127-4245-B8E3-2D0B2D2A2999	6	34	1	2015-07-15 19:02:24
61EA005F-21F0-437F-9D59-DA7CA2324779	28	388	0	2015-07-15 19:29:03
61EA005F-21F0-437F-9D59-DA7CA2324779	19	150	1	2015-07-15 21:19:24
81A8739F-8F0D-4010-A29A-E8FAD1E1CE46	12	193	1	2015-07-15 21:47:17
CA5B104E-752D-4CA5-91BE-564B398933AE	12	193	1	2015-07-15 21:53:37
CA5B104E-752D-4CA5-91BE-564B398933AE	12	39	1	2015-07-15 21:53:47
EA846CE5-230D-462F-8D21-D14C8707B2A5	19	173	1	2015-07-15 21:53:50
CA5B104E-752D-4CA5-91BE-564B398933AE	12	188	1	2015-07-15 21:53:54
6EF7995F-A997-41DE-8362-40EF3351B57C	26	66	1	2015-07-15 23:28:27
1899AF4A-CDC5-4AEC-AC44-4A6C8C2FA51F	12	184	0	2015-07-15 23:52:38
1B211786-07F0-418D-9568-805A4ABD5256	26	60	1	2015-07-16 00:25:47
C4B4F99C-3ED9-4B5D-8A77-8707D6E074A4	24	79	1	2015-07-16 05:36:05
7C493FC5-3310-4C2F-B83C-E4677F746E0C	16	238	1	2015-07-16 16:09:30
